ChEMBLID,pValue,grappolo,SlogP,TPSA,ExactMW,NumRotatableBonds,NumHBD,NumHBA,NumAromaticRings,FractionCSP3
CHEMBL605368,6.21,hCatL,3.3129,50.41,368.97468686,3,2,2,2,0
CHEMBL600860,7.23,hCatL,3.3129,50.41,368.97468686,3,2,2,2,0
CHEMBL600608,6.38,hCatL,4.3415,50.41,400.91558578,3,2,2,2,0
CHEMBL603084,7.02,hCatL,5.0723,50.41,468.96829974,3,2,2,2,0.125
CHEMBL602683,6.63,hCatL,3.9363,50.41,428.89462074,3,2,2,2,0
CHEMBL603085,6.94,hCatL,3.9363,50.41,428.89462074,3,2,2,2,0
CHEMBL599998,6.93,hCatL,3.452,50.41,386.965265048,3,2,2,2,0
CHEMBL602934,7.2,hCatL,3.5911,50.41,404.955843236,3,2,2,2,0
CHEMBL602272,5.65,hCatL,3.1738,50.41,350.984108672,3,2,2,2,0
CHEMBL602476,5.48,hCatL,3.1738,50.41,350.984108672,3,2,2,2,0
CHEMBL599871,5.34,hCatL,3.34312,50.41,347.009180548,4,2,2,2,0.0666666666666667
CHEMBL599558,5.61,hCatL,2.5504,50.41,291.064174792,3,2,2,2,0
CHEMBL602732,5.31,hCatL,2.5504,50.41,291.064174792,3,2,2,2,0
CHEMBL1084401,5.17,hCatL,4.74488000000001,61.6,376.187481396001,10,1,4,2,0.45
CHEMBL1084402,5.01,hCatL,4.35478,61.6,362.171831332001,5,1,4,2,0.421052631578947
CHEMBL1084679,5.77,hCatL,0.89748,89.76,287.185843672001,3,2,7,1,0.714285714285714
CHEMBL1078411,5.27,hCatL,2.18398,78.91,311.109233164,6,2,4,2,0.294117647058824
CHEMBL1171804,4.53,hCatL,5.65890000000001,126.4,676.110324540001,10,2,7,3,0.193548387096774
CHEMBL1171634,4.22,hCatL,5.0141,135.63,672.159861576001,12,2,8,3,0.21875
CHEMBL1171635,4.92,hCatL,3.3419,135.63,570.211449300001,12,2,8,3,0.193548387096774
CHEMBL1171636,4.91,hCatL,4.4865,126.4,590.216534680001,10,2,7,4,0.147058823529412
CHEMBL1171093,5.57,hCatL,2.6109,126.4,520.232184744001,13,2,7,2,0.321428571428571
CHEMBL1171094,4.12,hCatL,3.1435,126.4,546.247834808001,10,2,7,2,0.366666666666667
CHEMBL1171802,4.19,hCatL,3.7796,126.4,598.279134936001,10,2,7,2,0.441176470588235
CHEMBL359965,5.03,hCatL,1.7553,23.06,162.01730694,5,0,2,0,0.333333333333333
CHEMBL1224166,4.95,hCatL,2.2033,23.06,166.048607068,7,0,2,0,1
